98
76,71,1
95,67,1
117,65,1
127,61,1
153,52,1
172,49,1
202,40,1
226,36,1
252,34,1
276,31,1
297,29,1
315,29,1
336,27,1
357,25,1
367,25,1
390,25,1
398,25,1
430,27,1
440,28,1
463,35,1
484,43,1
497,48,1
506,56,1
526,85,1
532,97,1
534,107,1
535,138,1
536,162,1
537,174,1
537,176,1
530,191,1
527,196,1
516,209,1
494,234,1
468,252,1
451,263,1
432,292,1
426,314,1
426,329,1
435,341,1
489,350,1
516,356,1
534,362,1
552,367,1
578,383,1
85,122,1
115,107,1
136,104,1
161,102,1
174,98,1
192,92,1
206,90,1
226,90,1
243,86,1
259,83,1
273,78,1
288,78,1
296,79,1
312,80,1
331,77,1
345,75,1
361,74,1
376,73,1
398,72,1
413,74,1
420,74,1
439,87,1
448,91,1
455,95,1
461,100,1
465,114,1
468,122,1
469,155,1
469,165,1
464,186,1
455,207,1
446,219,1
437,227,1
416,241,1
398,253,1
389,265,1
369,299,1
367,306,1
365,318,1
365,334,1
371,360,1
376,376,1
397,380,1
405,388,1
432,399,1
452,403,1
474,409,1
484,411,1
501,414,1
517,416,1
528,421,1
533,422,1
554,425,1
