217
102,42,1
128,39,1
152,41,1
171,41,1
205,39,1
229,37,1
268,36,1
289,34,1
315,34,1
339,34,1
366,35,1
388,35,1
400,36,1
404,36,1
426,40,1
436,43,1
458,57,1
464,62,1
472,77,1
475,99,1
476,109,1
475,123,1
471,142,1
458,161,1
447,165,1
417,170,1
390,173,1
366,178,1
326,183,1
311,186,1
281,186,1
257,187,1
214,193,1
183,199,1
176,199,1
132,209,1
106,223,1
104,244,1
112,255,1
137,260,1
150,262,1
160,264,1
178,269,1
199,274,1
232,279,1
280,283,1
305,285,1
314,287,1
374,295,1
389,298,1
397,299,1
438,304,1
484,317,1
498,348,1
505,376,1
497,395,1
473,405,1
428,412,1
410,425,1
377,427,1
338,433,1
283,438,1
258,441,1
223,443,1
163,442,1
138,441,1
101,443,1
74,444,1
55,441,1
92,104,1
118,94,1
151,89,1
172,88,1
210,86,1
249,85,1
266,85,1
293,84,1
344,84,1
353,85,1
362,87,1
388,101,1
391,107,1
388,128,1
362,140,1
333,145,1
303,145,1
290,144,1
253,146,1
219,148,1
202,150,1
168,156,1
157,158,1
132,164,1
109,171,1
91,176,1
84,180,1
71,191,1
61,199,1
54,214,1
54,221,1
54,229,1
56,239,1
61,254,1
67,270,1
88,282,1
99,285,1
111,289,1
116,292,1
145,305,1
160,309,1
209,319,1
230,325,1
259,328,1
294,332,1
320,335,1
358,340,1
381,344,1
400,349,1
421,353,1
443,359,1
437,370,1
396,377,1
387,379,1
365,382,1
333,384,1
312,386,1
295,388,1
268,390,1
236,392,1
202,393,1
183,392,1
155,392,1
145,392,1
95,390,1
76,390,1
60,389,1
427,351,1
431,370,1
367,381,1
336,385,1
325,339,1
178,314,1
157,308,1
193,319,1
258,329,1
271,330,1
235,279,1
255,284,1
345,293,1
372,297,1
362,293,1
433,306,1
462,313,1
506,348,1
509,356,1
483,402,1
468,406,1
441,415,1
431,418,1
383,429,1
355,432,1
340,434,1
329,434,1
314,434,1
297,438,1
286,438,1
257,440,1
252,440,1
223,438,1
210,439,1
178,441,1
161,441,1
154,440,1
133,441,1
118,441,1
138,394,1
128,394,1
128,394,1
199,393,1
214,392,1
239,394,1
249,393,1
127,297,1
138,303,1
211,278,1
202,274,1
360,183,1
368,183,1
391,178,1
396,177,1
417,177,1
421,175,1
373,138,1
360,140,1
338,145,1
328,144,1
307,146,1
269,144,1
263,146,1
234,147,1
226,148,1
231,192,1
218,193,1
254,191,1
284,188,1
135,163,1
130,260,1
141,262,1
165,202,1
233,84,1
220,85,1
193,84,1
183,42,1
251,37,1
441,47,1
472,86,1
387,122,1
