194
46,106,1
60,91,1
74,82,1
85,76,1
102,68,1
117,65,1
131,63,1
144,65,1
147,68,1
159,88,1
165,97,1
172,111,1
184,120,1
192,121,1
204,118,1
212,112,1
227,98,1
232,93,1
243,84,1
248,80,1
260,74,1
273,66,1
287,58,1
299,52,1
307,49,1
312,47,1
324,46,1
337,45,1
349,43,1
366,43,1
378,42,1
398,42,1
424,41,1
458,43,1
483,48,1
505,52,1
528,57,1
538,60,1
553,71,1
559,76,1
563,81,1
566,89,1
566,95,1
566,105,1
557,114,1
555,116,1
546,128,1
536,130,1
509,132,1
495,132,1
477,133,1
445,134,1
423,138,1
415,141,1
413,146,1
415,148,1
432,160,1
457,161,1
489,166,1
505,168,1
518,171,1
524,173,1
539,181,1
548,193,1
553,206,1
554,208,1
554,213,1
554,222,1
549,233,1
543,240,1
537,244,1
522,248,1
510,251,1
502,252,1
481,253,1
458,253,1
449,252,1
436,252,1
426,252,1
408,253,1
389,259,1
379,263,1
377,264,1
369,269,1
368,270,1
366,273,1
367,288,1
368,295,1
369,298,1
374,307,1
374,309,1
377,316,1
398,341,1
410,355,1
418,361,1
428,364,1
434,364,1
469,365,1
478,365,1
485,362,1
497,356,1
505,352,1
508,349,1
516,343,1
525,335,1
538,325,1
554,312,1
567,303,1
587,289,1
588,288,1
50,141,2
57,131,2
79,125,2
93,119,2
108,114,2
118,118,2
127,129,2
141,145,2
156,156,2
166,159,2
173,162,2
201,160,2
231,153,2
241,147,2
259,134,2
279,117,2
290,109,2
299,103,2
313,94,2
327,87,2
336,84,2
351,78,2
367,73,2
390,71,2
409,69,2
426,68,2
440,68,2
452,68,2
461,69,2
473,72,2
483,74,2
492,82,2
499,90,2
492,100,2
476,106,2
455,107,2
440,107,2
415,106,2
392,105,2
375,109,2
360,129,2
361,137,2
367,152,2
374,165,2
382,172,2
393,177,2
407,183,2
419,185,2
435,186,2
449,188,2
455,190,2
466,197,2
471,204,2
457,220,2
431,225,2
392,224,2
382,224,2
368,226,2
359,232,2
343,243,2
328,263,2
323,283,2
322,296,2
325,317,2
329,347,2
340,357,2
344,360,2
349,367,2
365,375,2
396,390,2
406,392,2
413,393,2
445,406,2
465,410,2
482,411,2
501,410,2
511,408,2
538,397,2
557,382,2
564,376,2
580,363,2
592,350,2
603,336,2
607,333,2
